"ï»¿""taxon""",parent,count,count_norm,avg,tax_name,tax_rank,tax_color
242646,135073,14,1266,null,Peptostreptococcus sp. oral clone FL008,species,null
135073,1257,14,1266,null,environmental samples,no_rank,null
1308,1301,14,1266,null,Streptococcus thermophilus,species,null
1653,85007,13,1175,null,Corynebacteriaceae,family,null
1716,1653,13,1175,null,Corynebacterium,genus,null
61592,1716,13,1175,null,Corynebacterium durum,species,null
1018,1016,12,1085,null,Capnocytophaga ochracea,species,null
28133,838,11,995,null,Prevotella nigrescens,species,null
671232,1301,10,904,null,Streptococcus anginosus group,species_group,null
76860,671232,10,904,null,Streptococcus constellatus,species,null
495,482,10,904,null,Neisseria elongata,species,null
1654,2049,9,814,null,Actinomyces,genus,null
2049,85005,9,814,null,Actinomycetaceae,family,null
85005,2037,9,814,null,Actinomycineae,suborder,null
33958,186826,8,723,null,Lactobacillaceae,family,null
1578,33958,8,723,null,Lactobacillus,genus,null
242668,84374,7,633,null,Prevotella sp. oral clone GU027,species,null
1660,1654,7,633,null,Actinomyces odontolyticus,species,null
60133,838,7,633,null,Prevotella pallens,species,null
45305,57016,5,452,null,unidentified eubacterium clone 3.42,species,null
80864,80840,5,452,null,Comamonadaceae,family,null
57016,815,5,452,null,environmental samples,no_rank,null
538218,2093,5,452,null,Mycoplasma sp. A1802,species,null
2092,2085,5,452,null,Mycoplasmataceae,family,null
2085,31969,5,452,null,Mycoplasmatales,order,null
1763,1762,5,452,null,Mycobacterium,genus,null
31969,544448,5,452,null,Mollicutes,class,null
544448,2,5,452,null,Tenericutes,phylum,null
135095,29465,5,452,null,environmental samples,no_rank,null
80840,28216,5,452,null,Burkholderiales,order,null
324844,135095,5,452,null,Veillonella sp. oral clone VeillE3,species,null
815,171549,5,452,null,Bacteroidaceae,family,null
228603,838,5,452,null,Prevotella shahii,species,null
1762,85007,5,452,null,Mycobacteriaceae,family,null
2093,2092,5,452,null,Mycoplasma,genus,null
213849,29547,5,452,null,Campylobacterales,order,null
186803,186802,5,452,null,Lachnospiraceae,family,null
204,194,5,452,null,Campylobacter showae,species,null
194,72294,5,452,null,Campylobacter,genus,null
