"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.117","361493","162289","2","33",NA,"Peptoniphilus sp. gpac018A","species",NA
"ubiome_bacteriacounts.118","1328","671232","2","33",NA,"Streptococcus anginosus","species",NA
"ubiome_bacteriacounts.119","671232","1301","2","33",NA,"Streptococcus anginosus group","species_group",NA
"ubiome_bacteriacounts.120","85013","2037","2","33",NA,"Frankineae","suborder",NA
"ubiome_bacteriacounts.121","67774","379","2","33",NA,"Rhizobium huautlense","species",NA
"ubiome_bacteriacounts.122","379","227290","2","33",NA,"Rhizobium","genus",NA
"ubiome_bacteriacounts.123","227290","82115","2","33",NA,"Rhizobium/Agrobacterium group","no_rank",NA
"ubiome_bacteriacounts.124","82115","356","2","33",NA,"Rhizobiaceae","family",NA
"ubiome_bacteriacounts.125","356","28211","2","33",NA,"Rhizobiales","order",NA
"ubiome_bacteriacounts.126","1696","85019","2","33",NA,"Brevibacterium","genus",NA
"ubiome_bacteriacounts.127","85034","85014","2","33",NA,"Glycomycetaceae","family",NA
