"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.241","84995","1760","6","76",NA,"Rubrobacteridae","subclass",NA
"ubiome_bacteriacounts.242","1686","1678","6","76",NA,"Bifidobacterium catenulatum","species",NA
"ubiome_bacteriacounts.243","1161127","186804","5","63",NA,"Murdochiella","genus",NA
"ubiome_bacteriacounts.244","1046","135613","4","51",NA,"Chromatiaceae","family",NA
"ubiome_bacteriacounts.245","413496","543","4","51",NA,"Cronobacter","genus",NA
"ubiome_bacteriacounts.246","1386","186817","4","51",NA,"Bacillus","genus",NA
"ubiome_bacteriacounts.247","135618","1236","4","51",NA,"Methylococcales","order",NA
"ubiome_bacteriacounts.248","28141","413496","4","51",NA,"Cronobacter sakazakii","species",NA
"ubiome_bacteriacounts.249","130790","49928","4","51",NA,"unidentified bacterium ZF5","species",NA
"ubiome_bacteriacounts.250","691816","816","4","51",NA,"Bacteroides rodentium","species",NA
"ubiome_bacteriacounts.251","214856","239759","4","51",NA,"Alistipes finegoldii","species",NA
"ubiome_bacteriacounts.252","248744","186803","4","51",NA,"Marvinbryantia","genus",NA
"ubiome_bacteriacounts.253","1217283","1485","4","51",NA,"Clostridium sp. 619","species",NA
"ubiome_bacteriacounts.254","42214","31977","4","51",NA,"unclassified Veillonellaceae","no_rank",NA
"ubiome_bacteriacounts.255","1151741","42214","4","51",NA,"Veillonellaceae bacterium canine oral taxon 211","species",NA
"ubiome_bacteriacounts.256","213812","1263","4","51",NA,"Ruminococcus sp. 25F8","species",NA
"ubiome_bacteriacounts.257","1535","1485","4","51",NA,"Clostridium leptum","species",NA
"ubiome_bacteriacounts.258","135613","1236","4","51",NA,"Chromatiales","order",NA
"ubiome_bacteriacounts.259","830","186803","4","51",NA,"Butyrivibrio","genus",NA
"ubiome_bacteriacounts.260","186817","1385","4","51",NA,"Bacillaceae","family",NA
"ubiome_bacteriacounts.261","209879","31977","4","51",NA,"Allisonella","genus",NA
"ubiome_bacteriacounts.262","186814","68295","3","38",NA,"Thermoanaerobacteraceae","family",NA
"ubiome_bacteriacounts.263","1754","186814","3","38",NA,"Thermoanaerobacter","genus",NA
"ubiome_bacteriacounts.264","68295","186801","3","38",NA,"Thermoanaerobacterales","order",NA
"ubiome_bacteriacounts.265","631628","48479","3","38",NA,"iron-reducing bacterium enrichment culture clone FeC_1_A3","species",NA
"ubiome_bacteriacounts.266","200666","117747","3","38",NA,"Sphingobacteriales","order",NA
"ubiome_bacteriacounts.267","563835","200666","3","38",NA,"Chitinophagaceae","no_rank",NA
"ubiome_bacteriacounts.268","361493","162289","3","38",NA,"Peptoniphilus sp. gpac018A","species",NA
