"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.200","255727","84999","7","123",NA,"Coriobacterineae","suborder",NA
"ubiome_bacteriacounts.201","479436","29466","7","123",NA,"Veillonella parvula DSM 2008","no_rank",NA
"ubiome_bacteriacounts.202","29466","29465","7","123",NA,"Veillonella parvula","species",NA
"ubiome_bacteriacounts.203","128827","526525","7","123",NA,"Erysipelotrichaceae","family",NA
"ubiome_bacteriacounts.204","526525","526524","7","123",NA,"Erysipelotrichales","order",NA
"ubiome_bacteriacounts.205","60133","838","7","123",NA,"Prevotella pallens","species",NA
"ubiome_bacteriacounts.206","526524","1239","7","123",NA,"Erysipelotrichia","class",NA
"ubiome_bacteriacounts.207","1380","84107","7","123",NA,"Atopobium","genus",NA
"ubiome_bacteriacounts.208","84107","255727","7","123",NA,"Coriobacteriaceae","family",NA
"ubiome_bacteriacounts.209","544448","2","6","106",NA,"Tenericutes","phylum",NA
"ubiome_bacteriacounts.210","2092","2085","6","106",NA,"Mycoplasmataceae","family",NA
"ubiome_bacteriacounts.211","31969","544448","6","106",NA,"Mollicutes","class",NA
"ubiome_bacteriacounts.212","538218","2093","6","106",NA,"Mycoplasma sp. A1802","species",NA
"ubiome_bacteriacounts.213","2093","2092","6","106",NA,"Mycoplasma","genus",NA
"ubiome_bacteriacounts.214","2085","31969","6","106",NA,"Mycoplasmatales","order",NA
"ubiome_bacteriacounts.215","936571","838","6","106",NA,"Prevotella sp. ICM55","species",NA
"ubiome_bacteriacounts.216","39950","39948","5","88",NA,"Dialister pneumosintes","species",NA
"ubiome_bacteriacounts.217","86331","543314","5","88",NA,"Mogibacterium","genus",NA
"ubiome_bacteriacounts.218","117747","976","5","88",NA,"Sphingobacteriia","class",NA
"ubiome_bacteriacounts.219","143393","543314","5","88",NA,"[Eubacterium] sulci","species",NA
"ubiome_bacteriacounts.220","114528","86331","5","88",NA,"Mogibacterium neglectum","species",NA
"ubiome_bacteriacounts.221","541000","186802","5","88",NA,"Ruminococcaceae","family",NA
"ubiome_bacteriacounts.222","2070","85010","5","88",NA,"Pseudonocardiaceae","family",NA
"ubiome_bacteriacounts.223","200666","117747","5","88",NA,"Sphingobacteriales","order",NA
"ubiome_bacteriacounts.224","85010","2037","5","88",NA,"Pseudonocardineae","suborder",NA
"ubiome_bacteriacounts.225","189719","189718","4","70",NA,"Peptococcus sp. oral clone MCE10_265","species",NA
"ubiome_bacteriacounts.226","186818","1385","4","70",NA,"Planococcaceae","family",NA
"ubiome_bacteriacounts.227","55506","31977","4","70",NA,"Schwartzia","genus",NA
"ubiome_bacteriacounts.228","242655","89312","4","70",NA,"Selenomonas sp. oral clone GI064","species",NA
"ubiome_bacteriacounts.229","189718","2740","4","70",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.230","1303","1301","4","70",NA,"Streptococcus oralis","species",NA
