"","2017-01-05","2016-09-04","2016-12-14","2016-12-23","2017-01-03","2017-01-10","2017-02-28","2017-04-06","2017-04-09","2017-04-10","2017-04-12","2017-04-15","2017-04-22","2017-04-26","2017-05-13","2017-05-18","2017-06-26","2017-06-17","2017-07-08","2017-07-11","2017-07-13","2017-07-13","2017-07-14"
"Methylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"Rhodopseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0
"Sphingomonas",0,0,0,60,0,0,0,0,409,679,97,1027,0,642,2129,93,0,159,1712,513,0,344,0
"Burkholderia",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0
"Delftia",2832,0,583,155,160,0,0,0,1063,489,39,0,45719,3235,12325,0,362,0,2283,212,1826,1292,106
"Aquabacterium",0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0
"Novosphingobium",0,0,0,0,0,29,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelomonas",0,103,750,0,93,0,0,0,0,0,39,366,22229,1590,1738,174,0,0,963,201,0,0,1723
"Leuconostoc",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas",73,0,0,233,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,975
"Acidiphilium",272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
"Ochrobactrum",1227,0,917,0,0,0,0,0,204,0,312,587,0,0,1845,120,0,0,0,0,0,0,0
"Mesorhizobium",104,0,0,0,0,0,0,0,0,54,0,587,0,272,0,187,90,0,642,100,365,258,0
"Lysinibacillus",430,0,0,0,0,0,164,0,245,0,234,1100,0,0,0,455,0,0,5173,178,0,0,654
"Chryseobacterium",0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachybacterium",0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negativicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0
"Rhizobium",0,0,0,25,0,0,0,0,368,0,0,0,0,0,0,0,271,35,0,0,0,0,0
"Rhodobacter",0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,430,0
"Deinococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0
"Cellulomonas",0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,245,0,0,0
"Gardnerella",0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,53,0,0,0,0,0
"Hymenobacter",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
"Knoellia",0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"Truepera",0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"Altererythrobacter",0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,414
"Patulibacter",0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mannheimia",0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0
"Sphingobium",0,0,0,0,0,0,0,0,0,380,97,0,0,0,0,0,0,0,0,0,0,0,0
"Bosea",0,0,0,0,59,0,0,0,327,81,0,0,0,0,0,0,317,0,0,145,511,0,0
"Megamonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,0,0,0,6440
"Fusicatenibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2104,0,0,0,3661
"Turicella",0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,134,0,0,0,0,0,0,0
"Gemmatimonas",0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kocuria",0,0,0,0,0,0,0,85,0,353,0,0,0,0,0,26,0,0,0,0,0,0,0
"Roseomonas",0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phenylobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0
"Macrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,570,0,0,0,0
"Streptomyces",0,0,0,0,0,0,0,0,0,81,0,0,0,0,1525,0,0,0,0,0,0,0,0
"Shewanella",0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dietzia",0,0,0,25,0,0,0,56,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
"Nesterenkonia",0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0
"Variovorax",0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,107,135,0,0,0,584,0,0
"Sphingopyxis",0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoxanthomonas",0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oerskovia",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
"Planctomyces",0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sediminibacterium",0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rheinheimera",0,0,0,0,0,0,0,0,245,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Halomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,749,0,0,0,0
"Leucobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0
"Hydrogenophilus",0,0,0,0,0,0,0,0,0,0,58,366,4335,0,0,0,0,0,0,0,0,0,0
"Candidatus Saccharimonas",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoalteromonas",0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alicyclobacillus",0,0,0,0,16,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0
"Blastocatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,0,0,0,0
"Anaerobacillus",0,0,0,0,0,0,0,416,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0
"Nocardioides",0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonia",0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hirschia",0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0
